"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1793","Проверка оформления заказа через верхнюю кнопку","tests","2026-09-24","passed","2026-09-24","TestOrderAndNavigation","test_order","",""
"","221","Проверка перехода на главную страницу по логотипу Самоката","tests","2026-09-24","passed","2026-09-24","TestOrderAndNavigation","test_order","",""
"","68","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","127","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","563","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","126","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","667","Проверка перехода на Дзен по логотипу Яндекса","tests","2026-09-24","passed","2026-09-24","TestOrderAndNavigation","test_order","",""
"","76","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","82","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","1825","Проверка оформления заказа через верхнюю кнопку","tests","2026-09-24","passed","2026-09-24","TestOrderAndNavigation","test_order","",""
"","121","Проверка перехода к заказу через нижнюю кнопку","tests","2026-09-24","passed","2026-09-24","TestOrderAndNavigation","test_order","",""
"","82","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
"","61","Проверка ответов на вопросы FAQ","tests","2026-09-24","passed","2026-09-24","TestFAQ","test_faq","",""
